round,request_index,stable_ttft_ms,varying_ttft_ms,stripped_ttft_ms
1,1,123.46,182.53,125.35
1,2,122.71,295.35,109.07
1,3,114.22,202.76,120.18
1,4,122.12,116.76,111.77
1,5,377.65,109.33,116.53
1,6,224.06,111.4,114.82
1,7,255.13,114.52,109.28
1,8,331.52,107.69,111.88
2,1,112.2,116.22,339.33
2,2,109.5,123.5,185.31
2,3,129.37,273.81,207.94
2,4,124.9,152.67,167.45
2,5,117.94,114.57,112.42
2,6,148.15,199.71,112.35
2,7,108.51,219.19,111.96
2,8,116.32,395.28,115.64
3,1,111.52,115.78,119.16
3,2,123.23,120.13,111.57
3,3,110.0,124.75,120.72
3,4,126.1,110.45,254.59
3,5,112.38,143.52,114.43
3,6,113.09,129.43,113.22
3,7,113.08,112.24,115.77
3,8,116.57,113.94,204.79
